iter	Passed	Remaining
0	14	1480345286
1	29	1466486991
2	43	1450981257
3	57	1449885521
4	72	1443961588
5	86	1437233583
6	100	1433556516
7	114	1428410052
8	128	1424153753
9	142	1421186429
10	156	1420978627
11	170	1420719969
12	184	1417073171
13	198	1415463511
14	211	1411364378
15	226	1412784554
16	239	1410639694
17	253	1409669490
18	267	1408190845
19	281	1408489145
20	295	1407105759
21	309	1405220235
22	323	1404880890
23	337	1404243442
24	351	1404405592
25	365	1404561079
26	381	1412751378
27	395	1412947739
28	409	1413533356
29	423	1412176511
30	437	1412143465
31	451	1410244347
32	465	1409435584
33	479	1408961935
34	492	1408162302
35	506	1407602277
36	520	1406264687
37	534	1405989911
38	548	1405290389
39	562	1405114174
40	577	1408194535
41	591	1408286702
42	605	1407102508
43	618	1406625347
44	632	1406224090
45	646	1405761923
46	660	1405560830
47	674	1404988326
48	688	1404570907
49	702	1404134934
50	716	1404510593
51	729	1403417131
52	743	1402292181
53	757	1402312901
54	771	1402906738
55	785	1402814467
56	799	1402090341
57	812	1401642457
58	826	1400885449
59	840	1400573003
60	854	1400121492
61	872	1406871899
62	887	1409501669
63	903	1411466118
64	918	1413377780
65	934	1416305798
66	950	1418529228
67	965	1420525340
68	980	1421340878
69	995	1422553326
70	1010	1423720352
71	1024	1423369780
72	1038	1422838313
73	1052	1422023533
74	1066	1421479776
75	1079	1420851405
76	1093	1420097086
77	1106	1419014956
78	1120	1418475820
79	1134	1418042282
80	1148	1417804478
81	1162	1417220411
82	1176	1417260611
83	1190	1416958665
84	1204	1417559645
85	1218	1417204325
86	1232	1416351339
87	1246	1416027733
88	1259	1415580602
89	1273	1414945733
90	1287	1414388384
91	1300	1414022179
92	1314	1413644932
93	1328	1412961356
94	1342	1412669301
95	1356	1412583513
96	1369	1412282172
97	1383	1411773214
98	1397	1411391137
99	1411	1411349774
100	1425	1411103611
101	1439	1410859937
102	1452	1410393175
103	1466	1410096164
104	1479	1409414385
105	1493	1409041592
106	1507	1408483654
107	1520	1408048579
108	1534	1407827102
109	1548	1407337419
110	1561	1406695997
111	1574	1406148400
112	1588	1405970415
113	1602	1405708536
114	1616	1405650854
115	1629	1405113598
116	1643	1404913003
117	1657	1404576986
118	1670	1404144286
119	1684	1403745389
120	1697	1403275015
121	1711	1403108798
122	1725	1402658273
123	1738	1402360216
124	1752	1401902309
125	1765	1401500491
126	1779	1401407521
127	1793	1400943563
128	1806	1400481270
129	1820	1400188893
130	1833	1399942837
131	1848	1399999039
132	1865	1402895068
133	1881	1403981597
