iter	MAE
0	0.9834372205
1	0.9759823427
2	0.9684868608
3	0.961101637
4	0.9538363369
5	0.9465649189
6	0.9394522404
7	0.9326048327
8	0.9256876099
9	0.9190586231
10	0.9124090336
11	0.9056452225
12	0.899138296
13	0.8927082936
14	0.8862710421
15	0.8799140704
16	0.8736991981
17	0.8676176995
18	0.861668021
19	0.8555126727
20	0.8495637186
21	0.8436661891
22	0.83783049
23	0.8321510095
24	0.8263558606
25	0.8207501244
26	0.8151893139
27	0.8097297472
28	0.8042596305
29	0.7987781677
30	0.7935027943
31	0.7881533352
32	0.782936083
33	0.777795441
34	0.7727161463
35	0.7677875736
36	0.7628731836
37	0.7578543876
38	0.753098408
39	0.7483933552
40	0.7437042714
41	0.7390363711
42	0.734310572
43	0.7297705347
44	0.725246366
45	0.7207166844
46	0.716353538
47	0.7118673378
48	0.7074920522
49	0.7031595269
50	0.6989019712
51	0.6947960443
52	0.6906694325
53	0.6866558092
54	0.6826942608
55	0.6786725509
56	0.6747411675
57	0.6711500121
58	0.6672640523
59	0.6634131959
60	0.6596596142
61	0.6560838336
62	0.6523697421
63	0.6487044522
64	0.6452526733
65	0.6417002024
66	0.63821945
67	0.6347484564
68	0.6314144797
69	0.6281382804
70	0.6247788209
71	0.6214518485
72	0.6180873759
73	0.6150647499
74	0.6118623114
75	0.6089102519
76	0.6058627468
77	0.6026988163
78	0.5997073271
79	0.5967579161
80	0.5937782313
81	0.5907916424
82	0.5879019714
83	0.5850458572
84	0.5822782846
85	0.5794391517
86	0.5766630387
87	0.5738839971
88	0.5711701586
89	0.5684977208
90	0.5658821089
91	0.5632627711
92	0.5607661738
93	0.5582469739
94	0.5556770296
95	0.553242342
96	0.5507720177
97	0.5483677351
98	0.5460001694
99	0.5436539878
100	0.5413039022
101	0.538967762
102	0.5366524615
103	0.5344763701
104	0.5323021642
105	0.5300967176
106	0.5278730687
107	0.5257975904
108	0.5236722197
109	0.5215527844
110	0.519386942
111	0.5173670729
112	0.5153254943
113	0.5133192512
114	0.5114378555
115	0.5096407548
116	0.5077264383
117	0.5058617544
118	0.5039988582
119	0.5021654996
120	0.5002994402
121	0.4985164676
122	0.4966981325
123	0.4949583134
124	0.4931602782
125	0.4915667824
126	0.4898666606
127	0.4880791683
128	0.4863425037
129	0.4846730492
130	0.4829824617
131	0.4813265986
132	0.4796979962
133	0.4781288394
134	0.4766258161
135	0.4750600984
136	0.4735156782
137	0.4720481712
138	0.4706156195
139	0.4691801592
140	0.4676956003
141	0.4662822226
142	0.4648884668
143	0.4634360309
144	0.4620158829
145	0.4606393862
146	0.4592799534
147	0.457997739
148	0.4566756393
149	0.4554478831
150	0.4541312423
151	0.4528695226
152	0.4516666533
153	0.4505052919
154	0.4492664531
155	0.4479494179
156	0.4468011315
157	0.4456189137
158	0.4444862532
159	0.443329863
160	0.4421256465
161	0.4410283582
162	0.4398780351
163	0.4388245289
164	0.4377226601
165	0.4365810356
166	0.4355515175
167	0.4344970293
168	0.4334051663
169	0.4324362666
170	0.4314413283
171	0.430467812
172	0.4294248274
173	0.4284200701
174	0.4274995493
175	0.4264841898
176	0.4255179998
177	0.4245603575
178	0.4235944228
179	0.4226829201
180	0.4217346026
181	0.4209203858
182	0.420030993
183	0.4190997165
184	0.4183031236
185	0.4174428268
186	0.4166280408
187	0.4158228487
188	0.4149773644
189	0.4140923588
190	0.4132944291
191	0.4124727231
192	0.4116368249
193	0.4108814205
194	0.4100562275
195	0.4092763456
196	0.4085392639
197	0.4078311922
198	0.4070374312
199	0.406341991
200	0.405634416
201	0.4048594668
202	0.4041843216
203	0.4035075179
204	0.4028412414
205	0.4021622281
206	0.4014916312
207	0.40081723
208	0.4001505309
209	0.3995555122
210	0.39895753
211	0.3982746893
212	0.3976744442
213	0.3970604716
214	0.3964879327
215	0.3958258534
216	0.395190772
217	0.3945785602
218	0.3939884582
219	0.393446617
220	0.3928594642
221	0.3923379272
222	0.3917110785
223	0.391083988
224	0.390527284
225	0.3900093215
226	0.3894563339
227	0.3888450029
228	0.3882534319
229	0.3877160789
230	0.387198992
231	0.3867057228
232	0.3862416446
233	0.385721881
234	0.3853048042
235	0.3848210017
236	0.3842978839
237	0.3837810527
238	0.3832983075
239	0.3828537027
240	0.3823657653
241	0.3818777731
242	0.3814536741
243	0.3810279816
244	0.3806066514
245	0.3801448244
246	0.3797583635
247	0.3793465541
248	0.3789343156
249	0.3785401112
250	0.3781263905
251	0.3777197319
252	0.3772763996
253	0.3768670331
254	0.3764684198
255	0.3760670125
256	0.3756848078
257	0.3752969352
258	0.37493146
259	0.3745660921
260	0.374216357
261	0.3738218201
262	0.3734888496
263	0.3731230035
264	0.3727926135
265	0.3724211463
266	0.3721048832
267	0.3717046844
268	0.3713064112
269	0.370977697
270	0.3706596869
271	0.3703435229
272	0.3699834765
273	0.3696152904
274	0.3693265641
275	0.3690190919
276	0.3686989547
277	0.3684038743
278	0.368068729
279	0.3677339025
280	0.3674305542
281	0.3671082946
282	0.3668055266
283	0.3665053726
284	0.3662142998
285	0.3658674151
286	0.3655483628
287	0.3652642443
288	0.3649780261
289	0.3646627331
290	0.3643582233
291	0.3640766051
292	0.3637914107
293	0.3635357344
294	0.3632585986
295	0.3630071979
296	0.3627472569
297	0.362518634
298	0.3622612414
299	0.3620090226
300	0.3617700501
301	0.3615331776
302	0.3612536034
303	0.3610258196
304	0.360758772
305	0.3605436215
306	0.3603230643
307	0.3600870679
308	0.3598784147
309	0.3596169451
310	0.3593753741
311	0.3591308114
312	0.3589114592
313	0.3586946685
314	0.3584222588
315	0.3582035073
316	0.3579753105
317	0.3577541375
318	0.3575278989
319	0.3573323402
320	0.3571449343
321	0.3568946195
322	0.3567025483
323	0.3564657305
324	0.3562437208
325	0.3560335692
326	0.3558104515
327	0.3556254243
328	0.3554291767
329	0.3551916893
330	0.3549972091
331	0.3547979419
332	0.3545732119
333	0.3544093116
334	0.3542433137
335	0.3540298152
336	0.3538437013
337	0.3536883585
338	0.3535232762
